Date,Open,High,Low,Close,Volume
11/29/2023,123.98,125.73,123.48,123.85,37876320
11/28/2023,121.98,122.54,120.79,122.01,32047061
11/27/2023,122.07,123.89,121.77,122.65,32743010
11/24/2023,122.03,123.25,121.54,122.31,19001010
11/22/2023,120,124.76,119.95,122.51,56894488
11/21/2023,120.54,120.65,117.94,119.16,41064754
11/20/2023,120.7,121.93,120.07,121.53,43173930
11/17/2023,119.64,121.49,118.82,120.62,38538699
11/16/2023,117.2,120.73,116.41,119.83,49661871
11/15/2023,120.54,120.59,116.87,118,59555594
11/14/2023,119.7,122.11,119.22,119.88,61017449
11/13/2023,118.34,118.68,116,116.79,46741887
11/10/2023,114.35,119.7,114.03,118.59,75204070
11/09/2023,114.1,115.81,113.06,113.49,61146859
11/08/2023,113.55,115.32,112.88,113.59,41880609
11/07/2023,111.86,114.65,111.22,113.45,50550152
11/06/2023,112.6,113.08,110.22,111.75,49270367
11/03/2023,109.05,113.39,107.86,112.25,65632203
11/02/2023,107.96,109.41,105.91,107.83,71376953
11/01/2023,98.58,108.15,98.5,108.04,138641500
10/31/2023,96.24,98.82,94.07,98.5,79547125
10/30/2023,96.14,97.04,94.7,96.18,43716641
10/27/2023,95.8,97.35,94.59,96.43,52458648
10/26/2023,95.99,97.52,93.12,93.67,49896359
10/25/2023,100.42,101.03,95.23,96.06,53424480
10/24/2023,100.97,101.79,99.38,101.67,51982922
10/23/2023,100.81,102.42,99.32,100.01,50817441
10/20/2023,102.28,104.34,101.44,101.81,61317930
10/19/2023,103.81,105.6,101.84,102.4,52734199
10/18/2023,103.38,104.78,101.74,102.17,50449953
10/17/2023,103.54,106.29,101.66,105.14,49642113
10/16/2023,105.42,107.48,105.03,106.46,42464512
10/13/2023,108.65,108.97,104.75,105.09,52925930
10/12/2023,108.4,111.31,107.51,108.79,60959434
10/11/2023,109.14,110.1,106.93,108.31,51085641
10/10/2023,107.49,110.12,106.4,109.01,57105527
10/09/2023,106.01,107.31,104.79,106.97,39593191
10/06/2023,102.16,107.87,102.03,107.24,64864078
10/05/2023,103.41,103.74,100.27,102.91,51789727
10/04/2023,100.65,104.4,100.34,104.07,51023246
10/03/2023,101.8,103.29,99.17,100.08,48116980
10/02/2023,102.21,103.71,101.7,103.27,45118566
09/29/2023,104.69,104.94,102.56,102.82,56078641
09/28/2023,97.94,104.2,97.76,102.76,72542062
09/27/2023,96.82,99.23,96.35,98.07,51261500
09/26/2023,96.5,97.83,95.27,95.96,42866461
09/25/2023,95.95,97.45,94.46,97.38,43223754
09/22/2023,96.92,98.42,95.61,96.2,52169398
09/21/2023,98.6,98.87,95.84,96.11,59704340
09/20/2023,102.36,103.94,100.28,100.34,55180578
09/19/2023,101.75,102.86,100.7,101.61,41704113
09/18/2023,100.82,102.99,99.45,102.37,49061312
09/15/2023,106.07,106.76,101.28,101.49,71103617
09/14/2023,108.43,109.15,106.22,106.63,45920609
09/13/2023,105.1,108.74,104.83,107.71,44702246
09/12/2023,104.2,106.74,103.18,105.31,44413566
09/11/2023,107.32,107.51,103,105.32,50611289
09/08/2023,107.02,109.74,105.75,106.09,46271559
09/07/2023,106.14,107.69,105.09,106.59,49080152
09/06/2023,110.56,111.33,108.22,109.28,47736699
09/05/2023,109,111.82,106.3,110.78,66042195
09/01/2023,107,110.06,106.61,109.45,54856152
08/31/2023,106.19,108.06,104.86,105.72,58918969
08/30/2023,105.4,107.67,104.5,106.59,54847352
08/29/2023,102.11,106.57,101.79,105.92,50850289
08/28/2023,103.47,104.07,100.89,102.61,55386801
08/25/2023,101.17,104.12,99.58,102.25,74793086
08/24/2023,111.06,111.64,100.87,101.8,109179102
08/23/2023,105.65,110.08,105,109.43,54656328
08/22/2023,109.4,109.72,104.85,105.66,47335090
08/21/2023,106.2,108.54,105.67,108.22,49319238
08/18/2023,102.4,106.07,101.68,105.45,59916680
08/17/2023,107.62,107.85,104.1,104.44,59064281
08/16/2023,110.09,110.44,106.98,107.19,54327301
08/15/2023,111.99,113.18,110.17,111.35,53816566
08/14/2023,106.75,111.99,105.42,111.98,57421820
08/11/2023,108.85,109.07,106.48,107.57,55667754
08/10/2023,111.3,113.89,109.47,110.23,57297793
08/09/2023,112.89,113.15,108.78,110.47,56257070
08/08/2023,114.94,115.46,111.41,113.23,54141832
08/07/2023,116.36,119.08,115.49,116.81,65854766
08/04/2023,114.48,118.85,113.96,115.82,83169688
08/03/2023,108.95,114.96,108.95,113.15,90811562
08/02/2023,119.49,119.5,107.38,109.35,173372000
08/01/2023,114.26,118.19,113.16,117.6,97284727
07/31/2023,114.16,114.68,112.35,114.4,54187289
07/28/2023,113.38,114.86,112.44,112.96,55525969
07/27/2023,111.79,115.08,110.51,111.1,70677969
07/26/2023,111.91,112.36,109.3,110.09,51721688
07/25/2023,111.14,114.05,111,113,44916262
07/24/2023,110.62,111.31,108.55,110.61,45638000
07/21/2023,110.97,112.3,109.54,110.95,76815375
07/20/2023,114.96,115.05,109.24,110.25,76340398
07/19/2023,121.3,121.67,115.55,116.43,70363047
07/18/2023,117.55,118.43,115.19,117.93,57980078
07/17/2023,115.95,118.84,112.73,118.32,68593289
07/14/2023,116.17,122.12,115.25,115.94,91927203
07/13/2023,115.76,116.16,113.58,115.92,49206699
07/12/2023,112.89,115.4,112.31,114.58,57993090
07/11/2023,111.66,113.27,109.5,111.32,59899539
07/10/2023,113,113.61,109.88,113.58,49330199
07/07/2023,114.16,115.33,113.04,113.17,37211289
07/06/2023,112.07,113.79,110.31,113.48,42411840
07/05/2023,116.1,117.66,113.86,113.95,49501578
07/03/2023,115.16,116.73,114.51,115.82,31780660
06/30/2023,113.03,114.69,112.41,113.91,53378770
06/29/2023,112.07,112.76,109.84,111.24,58347168
06/28/2023,108.21,111.78,107.63,110.17,67534125
06/27/2023,108.57,110.97,107.08,110.39,59381648
06/26/2023,110.95,112.55,107.2,107.51,68556977
06/23/2023,109.31,111.1,107.46,110.01,73621953
06/22/2023,112.24,114,109.85,110.7,70754781
06/21/2023,118.49,119.19,111.67,112.11,82835617
06/20/2023,119.09,121.75,117.7,118.93,58851781
06/16/2023,125.82,125.85,119.9,120.08,82007078
06/15/2023,125.39,125.7,122.26,124.24,85587117
06/14/2023,126.53,127.73,123.81,127.33,95888117
06/13/2023,132.32,132.83,122.45,124.53,132461906
06/12/2023,128.52,130.48,126.4,129.19,85673078
06/09/2023,123.57,127.25,123.55,124.92,75105039
06/08/2023,118.3,122.21,117.05,121.05,65246930
06/07/2023,124.03,125.34,117.07,117.83,81755148
06/06/2023,117.91,124.42,117.74,124.23,75257508
06/05/2023,116.59,119.32,116.42,117.93,52602859
06/02/2023,120.75,121.66,117.68,117.86,52382422
06/01/2023,117.29,121.28,116.6,119.47,66032922
05/31/2023,122.42,123.96,117.86,118.21,87552227
05/30/2023,130.42,130.79,123.51,125.27,98902281
05/26/2023,122.46,127.43,120.89,127.03,92922750
05/25/2023,117.31,120.69,115.8,120.35,108514703
05/24/2023,105.98,108.91,105.64,108.27,65910461
05/23/2023,107.25,110.99,107.19,108.12,73099109
05/22/2023,104.68,108.79,103.49,108,65424230
05/19/2023,106.36,107.29,104.62,105.82,67880227
05/18/2023,103.98,108.1,103.93,107.93,74338719
05/17/2023,101.79,104.14,100.05,103.75,75240891
05/16/2023,97.39,103.28,97.31,101.48,90622883
05/15/2023,95.2,97.43,93.45,97.4,51749207
